name,full_address,phone,site,rating
Blue Terra Spa Noida,"1st Floor, K 1 Dharam Place, above ICICI BANK, Sector 18, Noida, Uttar Pradesh 201301, India",+91 120 428 4488,http://www.blueterra.in/,4.6
"Myrah Spa Noida-Massage Center, Massage Parlour In Noida","Vds Market, behind Metro Station Road, Sector 52, Noida, Uttar Pradesh 201301, India",,https://www.justdial.com/Delhi/Body-Massage-Centres-in-Noida/nct-10050521,5
